2026-09-19T00:00:15Z ps[zerosum-ledger-proxy-1=Up 5 seconds (healthy);zerosum-ledger-order-service-1=Up 21 seconds (healthy);zerosum-ledger-instrument-service-1=Up 21 seconds (healthy);zerosum-ledger-ledger-service-1=Up 20 seconds (healthy);zerosum-ledger-fake-providers-1=Up 21 seconds (healthy);zerosum-ledger-postgres-1=Up 27 seconds (healthy);zerosum-ledger-otel-lgtm-1=Up 27 seconds (healthy);zerosum-ledger-kafka-1=Up 27 seconds (healthy);] stats[zerosum-ledger-proxy-1=0.00%,4.477MiB / 7.748GiB;zerosum-ledger-order-service-1=146.87%,323.4MiB / 768MiB;zerosum-ledger-instrument-service-1=56.03%,353.3MiB / 768MiB;zerosum-ledger-ledger-service-1=47.23%,324.1MiB / 768MiB;zerosum-ledger-fake-providers-1=15.52%,271.5MiB / 512MiB;zerosum-ledger-postgres-1=18.87%,137.1MiB / 1.5GiB;zerosum-ledger-otel-lgtm-1=5.78%,900.6MiB / 2GiB;zerosum-ledger-kafka-1=58.56%,875.4MiB / 1.5GiB;inspiring_roentgen=5.51%,68.43MiB / 7.748GiB;]
2026-09-19T00:06:09Z ps[condescending_hofstadter=Up 50 seconds;zerosum-ledger-proxy-1=Up 5 minutes (healthy);zerosum-ledger-order-service-1=Up 6 minutes (healthy);zerosum-ledger-instrument-service-1=Up 6 minutes (healthy);zerosum-ledger-ledger-service-1=Up 6 minutes (healthy);zerosum-ledger-fake-providers-1=Up 6 minutes (healthy);zerosum-ledger-postgres-1=Up 6 minutes (healthy);zerosum-ledger-otel-lgtm-1=Up 6 minutes (healthy);zerosum-ledger-kafka-1=Up 6 minutes (healthy);] stats[condescending_hofstadter=6.18%,33.47MiB / 7.748GiB;zerosum-ledger-proxy-1=0.00%,2.535MiB / 7.748GiB;zerosum-ledger-order-service-1=8.55%,367.2MiB / 768MiB;zerosum-ledger-instrument-service-1=4.65%,371.4MiB / 768MiB;zerosum-ledger-ledger-service-1=3.22%,344.9MiB / 768MiB;zerosum-ledger-fake-providers-1=0.41%,277.3MiB / 512MiB;zerosum-ledger-postgres-1=16.89%,271MiB / 1.5GiB;zerosum-ledger-otel-lgtm-1=17.58%,1.569GiB / 2GiB;zerosum-ledger-kafka-1=3.10%,615.3MiB / 1.5GiB;]
2026-09-19T00:06:41Z ps[interesting_wescoff=Up 22 seconds;zerosum-ledger-proxy-1=Up 6 minutes (healthy);zerosum-ledger-order-service-1=Up 6 minutes (healthy);zerosum-ledger-instrument-service-1=Up 6 minutes (healthy);zerosum-ledger-ledger-service-1=Up 6 minutes (healthy);zerosum-ledger-fake-providers-1=Up 6 minutes (healthy);zerosum-ledger-postgres-1=Up 6 minutes (healthy);zerosum-ledger-otel-lgtm-1=Up 6 minutes (healthy);zerosum-ledger-kafka-1=Up 6 minutes (healthy);] stats[interesting_wescoff=7.18%,32.59MiB / 7.748GiB;zerosum-ledger-proxy-1=0.00%,2.535MiB / 7.748GiB;zerosum-ledger-order-service-1=10.17%,369MiB / 768MiB;zerosum-ledger-instrument-service-1=5.43%,371.1MiB / 768MiB;zerosum-ledger-ledger-service-1=4.88%,345.9MiB / 768MiB;zerosum-ledger-fake-providers-1=0.21%,277.8MiB / 512MiB;zerosum-ledger-postgres-1=15.73%,272.9MiB / 1.5GiB;zerosum-ledger-otel-lgtm-1=7.93%,1.49GiB / 2GiB;zerosum-ledger-kafka-1=3.41%,615.9MiB / 1.5GiB;]
2026-09-19T00:07:13Z ps[great_borg=Up 24 seconds;zerosum-ledger-proxy-1=Up 7 minutes (healthy);zerosum-ledger-order-service-1=Up 7 minutes (healthy);zerosum-ledger-instrument-service-1=Up 7 minutes (healthy);zerosum-ledger-ledger-service-1=Up 7 minutes (healthy);zerosum-ledger-fake-providers-1=Up 7 minutes (healthy);zerosum-ledger-postgres-1=Up 7 minutes (healthy);zerosum-ledger-otel-lgtm-1=Up 7 minutes (healthy);zerosum-ledger-kafka-1=Up 7 minutes (healthy);] stats[great_borg=7.52%,31.63MiB / 7.748GiB;zerosum-ledger-proxy-1=0.00%,2.535MiB / 7.748GiB;zerosum-ledger-order-service-1=11.32%,369.8MiB / 768MiB;zerosum-ledger-instrument-service-1=4.80%,371.1MiB / 768MiB;zerosum-ledger-ledger-service-1=3.81%,346.5MiB / 768MiB;zerosum-ledger-fake-providers-1=0.18%,278.1MiB / 512MiB;zerosum-ledger-postgres-1=17.64%,272.8MiB / 1.5GiB;zerosum-ledger-otel-lgtm-1=11.05%,1.566GiB / 2GiB;zerosum-ledger-kafka-1=2.91%,616.5MiB / 1.5GiB;]
2026-09-19T00:07:45Z ps[great_borg=Up 56 seconds;zerosum-ledger-proxy-1=Up 7 minutes (healthy);zerosum-ledger-order-service-1=Up 7 minutes (healthy);zerosum-ledger-instrument-service-1=Up 7 minutes (healthy);zerosum-ledger-ledger-service-1=Up 7 minutes (healthy);zerosum-ledger-fake-providers-1=Up 7 minutes (healthy);zerosum-ledger-postgres-1=Up 7 minutes (healthy);zerosum-ledger-otel-lgtm-1=Up 7 minutes (healthy);zerosum-ledger-kafka-1=Up 7 minutes (healthy);] stats[great_borg=6.19%,33.54MiB / 7.748GiB;zerosum-ledger-proxy-1=0.00%,2.535MiB / 7.748GiB;zerosum-ledger-order-service-1=14.29%,373.7MiB / 768MiB;zerosum-ledger-instrument-service-1=6.26%,371.4MiB / 768MiB;zerosum-ledger-ledger-service-1=4.62%,346.3MiB / 768MiB;zerosum-ledger-fake-providers-1=1.63%,278.1MiB / 512MiB;zerosum-ledger-postgres-1=17.21%,273.3MiB / 1.5GiB;zerosum-ledger-otel-lgtm-1=7.79%,1.594GiB / 2GiB;zerosum-ledger-kafka-1=3.07%,620.2MiB / 1.5GiB;]
2026-09-19T00:08:17Z ps[optimistic_hertz=Up 28 seconds;zerosum-ledger-proxy-1=Up 8 minutes (healthy);zerosum-ledger-order-service-1=Up 8 minutes (healthy);zerosum-ledger-instrument-service-1=Up 8 minutes (healthy);zerosum-ledger-ledger-service-1=Up 8 minutes (healthy);zerosum-ledger-fake-providers-1=Up 8 minutes (healthy);zerosum-ledger-postgres-1=Up 8 minutes (healthy);zerosum-ledger-otel-lgtm-1=Up 8 minutes (healthy);zerosum-ledger-kafka-1=Up 8 minutes (healthy);] stats[zerosum-ledger-proxy-1=0.00%,2.535MiB / 7.748GiB;zerosum-ledger-order-service-1=8.79%,375.1MiB / 768MiB;zerosum-ledger-instrument-service-1=4.31%,371.5MiB / 768MiB;zerosum-ledger-ledger-service-1=2.84%,345.7MiB / 768MiB;zerosum-ledger-fake-providers-1=0.18%,278.1MiB / 512MiB;zerosum-ledger-postgres-1=14.56%,274.1MiB / 1.5GiB;zerosum-ledger-otel-lgtm-1=10.31%,1.396GiB / 2GiB;zerosum-ledger-kafka-1=2.95%,616.5MiB / 1.5GiB;]
2026-09-19T00:08:49Z ps[keen_hofstadter=Up 29 seconds;zerosum-ledger-proxy-1=Up 8 minutes (healthy);zerosum-ledger-order-service-1=Up 8 minutes (healthy);zerosum-ledger-instrument-service-1=Up 8 minutes (healthy);zerosum-ledger-ledger-service-1=Up 8 minutes (healthy);zerosum-ledger-fake-providers-1=Up 8 minutes (healthy);zerosum-ledger-postgres-1=Up 9 minutes (healthy);zerosum-ledger-otel-lgtm-1=Up 9 minutes (healthy);zerosum-ledger-kafka-1=Up 9 minutes (healthy);] stats[keen_hofstadter=5.96%,31.92MiB / 7.748GiB;zerosum-ledger-proxy-1=0.00%,2.535MiB / 7.748GiB;zerosum-ledger-order-service-1=8.66%,374.9MiB / 768MiB;zerosum-ledger-instrument-service-1=4.60%,372.9MiB / 768MiB;zerosum-ledger-ledger-service-1=3.13%,346.6MiB / 768MiB;zerosum-ledger-fake-providers-1=0.26%,278.5MiB / 512MiB;zerosum-ledger-postgres-1=16.49%,273.5MiB / 1.5GiB;zerosum-ledger-otel-lgtm-1=94.07%,1.56GiB / 2GiB;zerosum-ledger-kafka-1=3.23%,620.7MiB / 1.5GiB;]
2026-09-19T00:09:21Z ps[elastic_perlman=Up 1 second;zerosum-ledger-proxy-1=Up 9 minutes (healthy);zerosum-ledger-order-service-1=Up 9 minutes (healthy);zerosum-ledger-instrument-service-1=Up 9 minutes (healthy);zerosum-ledger-ledger-service-1=Up 9 minutes (healthy);zerosum-ledger-fake-providers-1=Up 9 minutes (healthy);zerosum-ledger-postgres-1=Up 9 minutes (healthy);zerosum-ledger-otel-lgtm-1=Up 9 minutes (healthy);zerosum-ledger-kafka-1=Up 9 minutes (healthy);] stats[elastic_perlman=12.48%,47.06MiB / 7.748GiB;zerosum-ledger-proxy-1=0.00%,2.535MiB / 7.748GiB;zerosum-ledger-order-service-1=14.18%,375.9MiB / 768MiB;zerosum-ledger-instrument-service-1=7.56%,372.5MiB / 768MiB;zerosum-ledger-ledger-service-1=9.11%,346.6MiB / 768MiB;zerosum-ledger-fake-providers-1=0.12%,278.4MiB / 512MiB;zerosum-ledger-postgres-1=27.71%,273.2MiB / 1.5GiB;zerosum-ledger-otel-lgtm-1=18.92%,1.49GiB / 2GiB;zerosum-ledger-kafka-1=2.77%,618.6MiB / 1.5GiB;]
2026-09-19T00:09:54Z ps[charming_black=Up 3 seconds;zerosum-ledger-proxy-1=Up 9 minutes (healthy);zerosum-ledger-order-service-1=Up 9 minutes (healthy);zerosum-ledger-instrument-service-1=Up 9 minutes (healthy);zerosum-ledger-ledger-service-1=Up 9 minutes (healthy);zerosum-ledger-fake-providers-1=Up 9 minutes (healthy);zerosum-ledger-postgres-1=Up 10 minutes (healthy);zerosum-ledger-otel-lgtm-1=Up 10 minutes (healthy);zerosum-ledger-kafka-1=Up 10 minutes (healthy);] stats[charming_black=11.74%,45.33MiB / 7.748GiB;zerosum-ledger-proxy-1=0.00%,2.535MiB / 7.748GiB;zerosum-ledger-order-service-1=15.60%,376.1MiB / 768MiB;zerosum-ledger-instrument-service-1=7.09%,372.9MiB / 768MiB;zerosum-ledger-ledger-service-1=4.42%,347.5MiB / 768MiB;zerosum-ledger-fake-providers-1=0.21%,278.5MiB / 512MiB;zerosum-ledger-postgres-1=27.78%,276.8MiB / 1.5GiB;zerosum-ledger-otel-lgtm-1=12.65%,1.632GiB / 2GiB;zerosum-ledger-kafka-1=3.13%,624.1MiB / 1.5GiB;]
2026-09-19T00:10:26Z ps[charming_black=Up 35 seconds;zerosum-ledger-proxy-1=Up 10 minutes (healthy);zerosum-ledger-order-service-1=Up 10 minutes (healthy);zerosum-ledger-instrument-service-1=Up 10 minutes (healthy);zerosum-ledger-ledger-service-1=Up 10 minutes (healthy);zerosum-ledger-fake-providers-1=Up 10 minutes (healthy);zerosum-ledger-postgres-1=Up 10 minutes (healthy);zerosum-ledger-otel-lgtm-1=Up 10 minutes (healthy);zerosum-ledger-kafka-1=Up 10 minutes (healthy);] stats[charming_black=11.20%,48.68MiB / 7.748GiB;zerosum-ledger-proxy-1=0.00%,2.535MiB / 7.748GiB;zerosum-ledger-order-service-1=15.64%,376.6MiB / 768MiB;zerosum-ledger-instrument-service-1=9.55%,373.5MiB / 768MiB;zerosum-ledger-ledger-service-1=5.65%,347.8MiB / 768MiB;zerosum-ledger-fake-providers-1=1.60%,278.9MiB / 512MiB;zerosum-ledger-postgres-1=28.98%,278.2MiB / 1.5GiB;zerosum-ledger-otel-lgtm-1=11.60%,1.183GiB / 2GiB;zerosum-ledger-kafka-1=2.68%,620.5MiB / 1.5GiB;]
2026-09-19T00:10:58Z ps[affectionate_thompson=Up 7 seconds;zerosum-ledger-proxy-1=Up 10 minutes (healthy);zerosum-ledger-order-service-1=Up 11 minutes (healthy);zerosum-ledger-instrument-service-1=Up 11 minutes (healthy);zerosum-ledger-ledger-service-1=Up 11 minutes (healthy);zerosum-ledger-fake-providers-1=Up 11 minutes (healthy);zerosum-ledger-postgres-1=Up 11 minutes (healthy);zerosum-ledger-otel-lgtm-1=Up 11 minutes (healthy);zerosum-ledger-kafka-1=Up 11 minutes (healthy);] stats[affectionate_thompson=13.14%,46.17MiB / 7.748GiB;zerosum-ledger-proxy-1=0.00%,2.535MiB / 7.748GiB;zerosum-ledger-order-service-1=20.06%,377.8MiB / 768MiB;zerosum-ledger-instrument-service-1=8.31%,374.2MiB / 768MiB;zerosum-ledger-ledger-service-1=5.47%,348.5MiB / 768MiB;zerosum-ledger-fake-providers-1=0.13%,279.4MiB / 512MiB;zerosum-ledger-postgres-1=33.76%,282.1MiB / 1.5GiB;zerosum-ledger-otel-lgtm-1=16.95%,1.944GiB / 2GiB;zerosum-ledger-kafka-1=3.26%,620.9MiB / 1.5GiB;]
